ewOqpiD9cK1|https://youtu.be/3JZ_D3ELwOQ|2024.06.01 12:00|Thrustmaster T300RS gameplay 1|0
xKl8v8dhJ3bbGJ4|https://youtu.be/dQw4w9WgXcQ|2024.06.02 12:00|Thrustmaster T300RS gameplay 2|0
aBc123D4eF5|https://youtu.be/9bZkp7q19f0|2024.06.03 12:00|Thrustmaster T300RS gameplay 3|0
xYz987P6qR7|https://youtu.be/2Vv-BfVoq4g|2024.06.04 12:00|Thrustmaster T300RS gameplay 4|0
jKl654T3uV8|https://youtu.be/6v2L2UGZJAM|2024.06.05 12:00|Thrustmaster T300RS gameplay 5|0
lMn456Q7vW9|https://youtu.be/FTQbiNvZqaY|2024.06.06 12:00|Thrustmaster T300RS gameplay 6|0
pQr789S8wX0|https://youtu.be/e-ORhEE9VVg|2024.06.07 12:00|Thrustmaster T300RS gameplay 7|0
tUv321C9dY2|https://youtu.be/JGwWNGJdvx8|2024.06.08 12:00|Thrustmaster T300RS gameplay 8|0
uVw876L1eZ3|https://youtu.be/hT_nvWreIhg|2024.06.09 12:00|Thrustmaster T300RS gameplay 9|0
tuv321xyz|https://youtu.be/xyz123|2024.06.10 12:00|Thrustmaster T300RS gameplay 10|1
